ID;ACTIVIDAD;OPERACION;TIPO_EQUIPO;MARCA;MODELO;ANTIG_c;ANO;ANTIG;VELOC_prom;DIESEL_lts;EURO_lts;TOTAL_lts;KM;CONSUMO;CORRECTIVO_usd;CORRECTIVO_cant;PREVENTIVO_usd;PREVENTIVO_cant;HS_encendido;HS_ralenti;DIAS_svs
CAM0120;DISTRIBUCION;OP0002;Chasis;MERCEDES BENZ;ATEGO 1725;3-VIEJO;2008;14;18.91;3098.36;438.95;3537.31;9289.5;38.08;11157.51;63;1434.79;3;728.22;296.08;264
CAM0121;DISTRIBUCION;OP0016;Balancin;MERCEDES BENZ;ATEGO 1725;3-VIEJO;2008;14;19.6;239.85;1640.36;1880.21;5930.96;31.7;4817.8;25;2590.88;15;278.94;129.13;96
CAM0122;DISTRIBUCION;OP0002;Balancin;MERCEDES BENZ;ATEGO 1725;3-VIEJO;2008;14;12.22;4988.24;717.24;5705.48;13202.89;43.21;32051.32;129;1845.11;4;1296.96;766.92;234
CAM0123;DISTRIBUCION;OP0003;Chasis;MERCEDES BENZ;ATEGO 1418;3-VIEJO;2008;14;16.31;148.73;3884.57;4033.3;11977.8;33.67;614.31;3;1713.61;15;1234.21;765.3;293
CAM0124;DISTRIBUCION;OP0004;Chasis;MERCEDES BENZ;1318;3-VIEJO;2008;14;15.43;3218.48;1177.58;4396.06;10498.7;41.87;12477.68;46;486.95;4;958.41;385.72;277
CAM0125;DISTRIBUCION;OP0005;Chasis;MERCEDES BENZ;1318;3-VIEJO;2008;14;17.72;6191.11;1670.53;7861.64;25106.98;31.31;8736.69;17;2170.57;29;878.62;280.6;282
CAM0126;DISTRIBUCION;OP0001;Chasis;MERCEDES BENZ;ATEGO 1418;3-VIEJO;2008;14;17.37;2178.61;301.05;2479.66;9787.89;25.33;31.45;2;6508.42;19;355.2;60.78;133
CAM0127;ACARREO y LD;OP0024;Tractor;MERCEDES BENZ;ATEGO 1725;3-VIEJO;2008;14;21.35;9306.79;2642.6;11949.39;39192.03;30.49;5877.29;17;16007.4;51;1102.64;168.14;214
CAM0128;DISTRIBUCION;OP0004;Chasis;MERCEDES BENZ;1318;3-VIEJO;2008;14;9.33;3699.21;110.91;3810.12;9554.84;39.88;7578.39;44;778.1;3;1384.83;879.77;255
CAM0129;DISTRIBUCION;OP0001;Chasis;MERCEDES BENZ;ATEGO 1418;3-VIEJO;2009;13;17.62;2087.08;432.15;2519.23;7714.09;32.66;1313.04;8;17794.57;95;145.93;36.61;127
CAM0130;DISTRIBUCION;OP0029;Chasis;MERCEDES BENZ;ATEGO 1418;3-VIEJO;2009;13;21.59;2397.61;480.01;2877.62;9108.15;31.59;763.93;1;574.85;4;945.8;434.44;311
CAM0131;ACARREO y LD;OP0024;Tractor;MERCEDES BENZ;AXOR 1933;3-VIEJO;2009;13;29.04;18066.08;2636.59;20702.67;59645.19;34.71;4318.27;13;12546.92;73;1367.52;165.87;242
CAM0132;ACARREO y LD;OP0024;Tractor;MERCEDES BENZ;AXOR 1933;3-VIEJO;2009;13;26.15;18327.99;1235.04;19563.03;58388.17;33.51;809.7;8;9878.13;32;1565.09;370.06;271
CAM0133;ACARREO y LD;OP0024;Tractor;MERCEDES BENZ;AXOR 1933;3-VIEJO;2009;13;24.4;11607.25;3022.85;14630.1;45780;31.96;2054.11;13;21044.29;51;1412.26;193.13;241
CAM0134;DISTRIBUCION;OP0001;Chasis;MERCEDES BENZ;ATEGO 1418;3-VIEJO;2011;11;22.36;2343.66;375.61;2719.27;9986.47;27.23;647.91;6;16988.13;64;445.3;73.65;286
CAM0135;DISTRIBUCION;OP0029;Chasis;MERCEDES BENZ;ATEGO 1418;3-VIEJO;2010;12;13.97;1412.17;207.54;1619.71;4945.3;32.75;2971.52;7;386.84;4;596.1;291.6;193
CAM0136;DISTRIBUCION;OP0031;Balancin;MERCEDES BENZ;ATEGO 1418;3-VIEJO;2010;12;6.86;6209.9;3128.07;9337.97;32706.12;28.55;977.85;3;3865.38;33;4172.7;2041.2;195
CAM0137;DISTRIBUCION;OP0001;Chasis;MERCEDES BENZ;1318;3-VIEJO;2011;11;18.32;1617.04;105.86;1722.9;5968.51;28.87;209.8;5;18918.98;100;159.34;42.55;88
CAM0138;DISTRIBUCION;OP0003;Tractor;MERCEDES BENZ;AXOR 1933;3-VIEJO;2011;11;24.91;14998.67;1304.13;16302.8;43679.63;37.32;7394.27;7;3818.39;16;1210.8;490.34;239
CAM0139;DISTRIBUCION;OP0004;Chasis;MERCEDES BENZ;ATEGO 1418;3-VIEJO;2011;11;13.48;3269.21;695.27;3964.48;12592.65;31.48;5190.45;36;1632.38;4;1214.07;658.64;246
CAM0140;DISTRIBUCION;OP0016;Tractor;MERCEDES BENZ;AXOR 1933;3-VIEJO;2011;11;20.92;25843.98;21131.43;46975.41;141277.4;33.25;1630.69;14;2099.7;18;2467.21;193.05;351
